Calendar year,Ethnicity,Main offence,Sentence,Value,Flags
"1981","European","Total Offences","Imprisonment",1511,
"1980","European","Total Offences","Imprisonment",1567,
"1984","European","Total Offences","Imprisonment",2133,
"1983","European","Total Offences","Imprisonment",1845,
"1982","European","Total Offences","Imprisonment",1676,
"1985","European","Total Offences","Imprisonment",1839,
"1987","European","Total Offences","Imprisonment",2064,
"1980","European","Total Offences","Total sentences",34978,
"1990","European","Total Offences","Imprisonment",2530,
"1981","European","Total Offences","Total sentences",35545,
"1988","European","Total Offences","Imprisonment",2062,
"1986","European","Total Offences","Imprisonment",1849,
"1989","European","Total Offences","Imprisonment",2204,
"1982","European","Total Offences","Total sentences",30362,
"1980","European","Public Order Offences","Imprisonment",47,
"1980","European","Miscellaneous Offences","Imprisonment",1,
"1983","European","Total Offences","Total sentences",30786,
"1980","European","Assault","Imprisonment",135,
"1993","European","Total Offences","Imprisonment",2641,
"1986","European","Total Offences","Total sentences",32513,
"1989","European","Total Offences","Total sentences",35876,
"1984","European","Total Offences","Total sentences",31613,
"1987","European","Total Offences","Total sentences",33193,
"1991","European","Total Offences","Imprisonment",2574,
"1994","European","Total Offences","Imprisonment",2450,
"1980","European","Public Order Offences","Total sentences",8128,
"1992","European","Total Offences","Imprisonment",2650,
"1985","European","Total Offences","Total sentences",31762,
"1988","European","Total Offences","Total sentences",35866,
"1980","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",348,
"1981","European","Public Order Offences","Total sentences",7060,
"1981","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",6,
"1981","European","Miscellaneous Offences","Total sentences",953,
"1981","European","Attempted murder","Imprisonment",1,
"1980","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",12,
"1982","European","Attempted murder","Imprisonment",2,
"1983","European","Assault","Imprisonment",122,
"1981","European","Public Order Offences","Imprisonment",50,
"1982","European","Public Order Offences","Imprisonment",31,
"1981","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",353,
"1981","European","Assault","Imprisonment",93,
"1982","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",364,
"1982","European","Attempted murder","Total sentences",2,
"1982","European","Assault","Total sentences",1468,
"1982","European","Public Order Offences","Total sentences",5286,
"1982","European","Assault","Imprisonment",127,
"1982","European","Miscellaneous Offences","Total sentences",420,
"1980","European","Attempted murder","Imprisonment",1,
"1980","European","Miscellaneous Offences","Total sentences",836,
"1983","European","Assault","Total sentences",1399,
"1982","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",8,
"1983","European","Miscellaneous Offences","Total sentences",327,
"1980","European","Murder","Imprisonment",4,
"1982","European","Murder","Imprisonment",3,
"1983","European","Murder","Imprisonment",7,
"1983","European","Murder","Total sentences",7,
"1983","European","Other acts intended to cause injury","Imprisonment",3,
"1981","European","Murder","Imprisonment",7,
"1981","European","Murder","Total sentences",8,
"1982","European","Murder","Total sentences",3,
"1981","European","Other acts intended to cause injury","Imprisonment",2,
"1982","European","Other acts intended to cause injury","Imprisonment",1,
"1987","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",35,
"1981","European","Assault","Total sentences",1385,
"1984","European","Public Order Offences","Total sentences",3968,
"1980","European","Attempted murder","Total sentences",1,
"1987","European","Attempted murder","Imprisonment",3,
"1984","European","Miscellaneous Offences","Total sentences",329,
"1984","European","Attempted murder","Imprisonment",8,
"1984","European","Assault","Total sentences",1538,
"1984","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",29,
"1988","European","Public Order Offences","Imprisonment",8,
"1985","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",480,
"1983","European","Miscellaneous Offences","Imprisonment",3,
"1989","European","Assault","Total sentences",1730,
"1983","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",25,
"1986","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",37,
"1984","European","Public Order Offences","Imprisonment",30,
"1984","European","Attempted murder","Total sentences",10,
"1984","European","Miscellaneous Offences","Imprisonment",1,
"1988","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",32,
"1986","European","Public Order Offences","Total sentences",4039,
"1987","European","Assault","Imprisonment",159,
"1984","European","Assault","Imprisonment",160,
"1984","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",398,
"1987","European","Public Order Offences","Imprisonment",15,
"1988","European","Assault","Imprisonment",203,
"1983","European","Public Order Offences","Total sentences",4360,
"1988","European","Attempted murder","Imprisonment",2,
"1985","European","Attempted murder","Total sentences",4,
"1985","European","Assault","Imprisonment",144,
"1989","European","Assault","Imprisonment",208,
"1986","European","Attempted murder","Total sentences",9,
"1985","European","Attempted murder","Imprisonment",4,
"1985","European","Miscellaneous Offences","Total sentences",375,
"1985","European","Public Order Offences","Imprisonment",28,
"1985","European","Public Order Offences","Total sentences",4028,
"1986","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",499,
"1983","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",353,
"1980","European","Assault","Total sentences",1316,
"1988","European","Miscellaneous Offences","Total sentences",211,
"1986","European","Assault","Imprisonment",160,
"1987","European","Miscellaneous Offences","Imprisonment",1,
"1986","European","Public Order Offences","Imprisonment",30,
"1981","European","Attempted murder","Total sentences",4,
"1986","European","Miscellaneous Offences","Total sentences",247,
"1985","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",40,
"1985","European","Miscellaneous Offences","Imprisonment",1,
"1983","European","Public Order Offences","Imprisonment",32,
"1986","European","Attempted murder","Imprisonment",5,
"1988","European","Assault","Total sentences",1772,
"1985","European","Assault","Total sentences",1516,
"1985","European","Murder","Imprisonment",6,
"1988","European","Murder","Imprisonment",8,
"1980","European","Murder","Total sentences",5,
"1985","European","Murder","Total sentences",6,
"1986","European","Murder","Total sentences",17,
"1988","European","Murder","Total sentences",8,
"1985","European","Other acts intended to cause injury","Imprisonment",3,
"1986","European","Other acts intended to cause injury","Imprisonment",3,
"1984","European","Murder","Imprisonment",2,
"1986","European","Murder","Imprisonment",16,
"1987","European","Murder","Imprisonment",12,
"1984","European","Murder","Total sentences",2,
"1984","European","Other acts intended to cause injury","Imprisonment",1,
"1989","European","Other acts intended to cause injury","Imprisonment",3,
"1987","European","Public Order Offences","Total sentences",3269,
"1990","European","Miscellaneous Offences","Total sentences",273,
"2001","European","Total Offences","Imprisonment",2613,
"1993","European","Attempted murder","Imprisonment",3,
"1997","European","Total Offences","Total sentences",29404,
"1994","European","Total Offences","Total sentences",30945,
"1990","European","Attempted murder","Imprisonment",2,
"1990","European","Assault","Total sentences",1571,
"1991","European","Total Offences","Total sentences",32885,
"1991","European","Assault","Imprisonment",241,
"1991","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",427,
"1987","European","Miscellaneous Offences","Total sentences",187,
"2000","European","Total Offences","Total sentences",28592,
"1987","European","Assault","Total sentences",1600,
"1988","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",547,
"1988","European","Attempted murder","Total sentences",2,
"1989","European","Public Order Offences","Total sentences",2311,
"1991","European","Public Order Offences","Imprisonment",24,
"1992","European","Total Offences","Total sentences",30420,
"1989","European","Miscellaneous Offences","Imprisonment",2,
"1992","European","Miscellaneous Offences","Imprisonment",1,
"1991","European","Attempted murder","Total sentences",3,
"1980","European","Motor vehicle theft and related offences","Imprisonment",97,
"1992","European","Attempted murder","Total sentences",2,
"1995","European","Total Offences","Total sentences",31092,
"1999","European","Total Offences","Imprisonment",2625,
"1992","European","Public Order Offences","Total sentences",1364,
"2000","European","Total Offences","Imprisonment",2607,
"1991","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",40,
"1993","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",487,
"1990","European","Attempted murder","Total sentences",3,
"1987","European","Attempted murder","Total sentences",3,
"1997","European","Total Offences","Imprisonment",2623,
"1993","European","Miscellaneous Offences","Total sentences",322,
"1989","European","Miscellaneous Offences","Total sentences",171,
"1990","European","Public Order Offences","Total sentences",1527,
"1992","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",424,
"1992","European","Miscellaneous Offences","Total sentences",341,
"1993","European","Public Order Offences","Imprisonment",24,
"1998","European","Total Offences","Total sentences",30222,
"1996","European","Total Offences","Imprisonment",2477,
"1986","European","Assault","Total sentences",1504,
"1989","European","Attempted murder","Total sentences",2,
"1980","European","Abduction and kidnapping","Imprisonment",2,
"1990","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",437,
"1992","European","Attempted murder","Imprisonment",2,
"1989","European","Attempted murder","Imprisonment",2,
"1993","European","Attempted murder","Total sentences",3,
"1992","European","Public Order Offences","Imprisonment",26,
"1988","European","Public Order Offences","Total sentences",2849,
"1980","European","Obtain benefit by deception","Imprisonment",148,
"1991","European","Miscellaneous Offences","Total sentences",264,
"1989","European","Public Order Offences","Imprisonment",13,
"1991","European","Attempted murder","Imprisonment",3,
"1990","European","Total Offences","Total sentences",31512,
"1993","European","Total Offences","Total sentences",30746,
"1990","European","Assault","Imprisonment",212,
"1981","European","Forgery and counterfeiting","Imprisonment",2,
"1991","European","Assault","Total sentences",1641,
"2001","European","Total Offences","Total sentences",28621,
"1987","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",542,
"1990","European","Public Order Offences","Imprisonment",21,
"1991","European","Public Order Offences","Total sentences",1503,
"1990","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",43,
"1993","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",51,
"1980","European","Theft (except motor vehicles)","Imprisonment",94,
"1980","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",271,
"1996","European","Total Offences","Total sentences",30369,
"1999","European","Total Offences","Total sentences",29569,
"1993","European","Miscellaneous Offences","Imprisonment",4,
"1993","European","Public Order Offences","Total sentences",1799,
"1998","European","Total Offences","Imprisonment",2596,
"1995","European","Total Offences","Imprisonment",2388,
"2002","European","Total Offences","Imprisonment",2835,
"2005","European","Total Offences","Imprisonment",3312,
"2007","European","Total Offences","Imprisonment",3161,
"2008","European","Total Offences","Imprisonment",2784,
"2010","European","Total Offences","Imprisonment",3049,
"2013","European","Total Offences","Imprisonment",2441,
"2015","European","Total Offences","Imprisonment",2325,
"2016","European","Total Offences","Imprisonment",2471,
"2002","European","Total Offences","Total sentences",28864,
"2003","European","Total Offences","Total sentences",30931,
"2005","European","Total Offences","Total sentences",30720,
"2008","European","Total Offences","Total sentences",39372,
"2010","European","Total Offences","Total sentences",41188,
"2011","European","Total Offences","Total sentences",36775,
"2013","European","Total Offences","Total sentences",30099,
"2016","European","Total Offences","Total sentences",23876,
"1990","European","Murder","Imprisonment",17,
"1991","European","Murder","Imprisonment",7,
"1993","European","Murder","Imprisonment",8,
"1991","European","Murder","Total sentences",7,
"1993","European","Murder","Total sentences",8,
"1991","European","Homicide And Related Offences not further defined","Total sentences",1,
"1993","European","Homicide And Related Offences not further defined","Total sentences",1,
"1992","European","Assault","Imprisonment",243,
"1992","European","Assault","Total sentences",1784,
"1991","European","Other acts intended to cause injury","Imprisonment",3,
"1993","European","Other acts intended to cause injury","Imprisonment",1,
"1980","European","Receive or handle proceeds of crime","Imprisonment",30,
"2003","European","Total Offences","Imprisonment",2953,
"2004","European","Total Offences","Imprisonment",3261,
"2006","European","Total Offences","Imprisonment",3284,
"2009","European","Total Offences","Imprisonment",3017,
"2011","European","Total Offences","Imprisonment",2758,
"2012","European","Total Offences","Imprisonment",2537,
"2014","European","Total Offences","Imprisonment",2426,
"2004","European","Total Offences","Total sentences",31298,
"2006","European","Total Offences","Total sentences",33229,
"2007","European","Total Offences","Total sentences",36449,
"2009","European","Total Offences","Total sentences",43080,
"2012","European","Total Offences","Total sentences",33626,
"2014","European","Total Offences","Total sentences",26385,
"2015","European","Total Offences","Total sentences",23922,
"1989","European","Murder","Imprisonment",6,
"1992","European","Murder","Imprisonment",16,
"1987","European","Murder","Total sentences",12,
"1989","European","Murder","Total sentences",6,
"1990","European","Murder","Total sentences",18,
"1992","European","Murder","Total sentences",16,
"1991","European","Homicide And Related Offences not further defined","Imprisonment",1,
"1993","European","Assault","Imprisonment",292,
"1993","European","Assault","Total sentences",2410,
"1990","European","Other acts intended to cause injury","Imprisonment",2,
"1992","European","Other acts intended to cause injury","Imprisonment",1,
"1980","European","Other dangerous or negligent acts endangering persons","Imprisonment",2,
"1980","European","Blackmail and extortion","Imprisonment",1,
"1980","European","Other illicit drug offences","Imprisonment",6,
"1980","European","Driving licence offences","Imprisonment",117,
"1983","European","Driving licence offences","Imprisonment",219,
"1984","European","Property damage","Imprisonment",43,
"1982","European","Illegal use of property (except motor vehicles)","Total sentences",19,
"1981","European","Property damage","Imprisonment",30,
"1980","European","Theft (except motor vehicles)","Total sentences",2315,
"1985","European","Illegal use of property (except motor vehicles)","Total sentences",22,
"1984","European","Abduction and kidnapping","Total sentences",8,
"1983","European","Theft (except motor vehicles)","Total sentences",2581,
"1986","European","Obtain benefit by deception","Total sentences",1010,
"1982","European","Theft (except motor vehicles)","Imprisonment",77,
"1985","European","Obtain benefit by deception","Imprisonment",123,
"1984","European","Deceptive business/government practices","Imprisonment",1,
"1982","European","Other fraud and deception offences","Imprisonment",26,
"1981","European","Abduction and kidnapping","Total sentences",6,
"1981","European","Environmental pollution","Total sentences",124,
"1981","European","Deal or traffic in illicit drugs","Imprisonment",130,
"1980","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",57,
"1980","European","Manufacture or cultivate illicit drugs","Total sentences",605,
"1984","European","Deal or traffic in illicit drugs","Imprisonment",118,
"1982","European","Motor vehicle theft and related offences","Imprisonment",138,
"1983","European","Obtain benefit by deception","Total sentences",991,
"1985","European","Motor vehicle theft and related offences","Imprisonment",126,
"1983","European","Other illicit drug offences","Imprisonment",5,
"1984","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",315,
"1981","European","Possess and/or use illicit drugs","Total sentences",1444,
"1981","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",267,
"1982","European","Obtain benefit by deception","Imprisonment",130,
"1986","European","Theft (except motor vehicles)","Total sentences",2654,
"1980","European","Motor vehicle theft and related offences","Total sentences",1020,
"1983","European","Motor vehicle theft and related offences","Total sentences",1067,
"1980","European","Deceptive business/government practices","Total sentences",22,
"1982","European","Possess and/or use illicit drugs","Imprisonment",18,
"1986","European","Illegal use of property (except motor vehicles)","Imprisonment",1,
"1983","European","Other fraud and deception offences","Imprisonment",35,
"1983","European","Forgery and counterfeiting","Imprisonment",2,
"1984","European","Theft (except motor vehicles)","Imprisonment",120,
"1981","European","Theft (except motor vehicles)","Imprisonment",71,
"1980","European","Other fraud and deception offences","Imprisonment",47,
"1986","European","Motor vehicle theft and related offences","Total sentences",1126,
"1983","European","Deal or traffic in illicit drugs","Imprisonment",102,
"1980","European","Deal or traffic in illicit drugs","Imprisonment",106,
"1983","European","Abduction and kidnapping","Total sentences",16,
"1985","European","Theft (except motor vehicles)","Imprisonment",100,
"1986","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1164,
"1982","European","Forgery and counterfeiting","Imprisonment",2,
"1983","European","Environmental pollution","Imprisonment",2,
"1986","European","Abduction and kidnapping","Total sentences",15,
"1982","European","Abduction and kidnapping","Imprisonment",4,
"1985","European","Forgery and counterfeiting","Imprisonment",1,
"1981","European","Driving licence offences","Total sentences",1269,
"1985","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1119,
"1980","European","Obtain benefit by deception","Total sentences",870,
"1980","European","Manufacture or cultivate illicit drugs","Imprisonment",15,
"1982","European","Property damage","Imprisonment",35,
"1981","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",51,
"1984","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",133,
"1981","European","Deal or traffic in illicit drugs","Total sentences",298,
"1981","European","Illegal use of property (except motor vehicles)","Total sentences",23,
"1986","European","Obtain benefit by deception","Imprisonment",105,
"1982","European","Theft (except motor vehicles)","Total sentences",2307,
"1982","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",79,
"1983","European","Property damage","Imprisonment",48,
"1984","European","Possess and/or use illicit drugs","Imprisonment",23,
"1982","European","Illegal use of property (except motor vehicles)","Imprisonment",1,
"1981","European","Manufacture or cultivate illicit drugs","Imprisonment",10,
"1982","European","Deceptive business/government practices","Imprisonment",1,
"1980","European","Other illicit drug offences","Total sentences",225,
"1983","European","Motor vehicle theft and related offences","Imprisonment",126,
"1981","European","Abduction and kidnapping","Imprisonment",6,
"1981","European","Possess and/or use illicit drugs","Imprisonment",28,
"1984","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1143,
"1981","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1030,
"1984","European","Forgery and counterfeiting","Imprisonment",4,
"1985","European","Obtain benefit by deception","Total sentences",972,
"1981","European","Deceptive business/government practices","Total sentences",18,
"1980","European","Abduction and kidnapping","Total sentences",8,
"1985","European","Theft (except motor vehicles)","Total sentences",2763,
"1981","European","Obtain benefit by deception","Imprisonment",136,
"1984","European","Obtain benefit by deception","Imprisonment",177,
"1980","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1085,
"1984","European","Illegal use of property (except motor vehicles)","Total sentences",8,
"1981","European","Other illicit drug offences","Total sentences",221,
"1983","European","Exceeding the prescribed content of alcohol or other substance limit","Imprisonment",79,
"1980","European","Deal or traffic in illicit drugs","Total sentences",287,
"1983","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1202,
"1980","European","Illegal use of property (except motor vehicles)","Total sentences",20,
"1981","European","Driving licence offences","Imprisonment",150,
"1982","European","Manufacture or cultivate illicit drugs","Imprisonment",21,
"1981","European","Other fraud and deception offences","Total sentences",411,
"1984","European","Theft (except motor vehicles)","Total sentences",2456,
"1984","European","Motor vehicle theft and related offences","Total sentences",1099,
"1981","European","Motor vehicle theft and related offences","Total sentences",963,
"1982","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",290,
"1980","European","Possess and/or use illicit drugs","Total sentences",1671,
"1983","European","Obtain benefit by deception","Imprisonment",163,
"1984","European","Driving licence offences","Imprisonment",263,
"1980","European","Property damage","Imprisonment",39,
"1984","European","Manufacture or cultivate illicit drugs","Imprisonment",44,
"1982","European","Other illicit drug offences","Imprisonment",3,
"1983","European","Abduction and kidnapping","Imprisonment",12,
"1980","European","Other fraud and deception offences","Total sentences",420,
"1980","European","Deceptive business/government practices","Imprisonment",1,
"1986","European","Abduction and kidnapping","Imprisonment",11,
"1982","European","Driving licence offences","Imprisonment",205,
"1983","European","Manufacture or cultivate illicit drugs","Imprisonment",20,
"1986","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",307,
"1985","European","Motor vehicle theft and related offences","Total sentences",1086,
"1983","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",268,
"1983","European","Theft (except motor vehicles)","Imprisonment",109,
"1986","European","Motor vehicle theft and related offences","Imprisonment",90,
"1980","European","Forgery and counterfeiting","Total sentences",39,
"1986","European","Illegal use of property (except motor vehicles)","Total sentences",23,
"1983","European","Illegal use of property (except motor vehicles)","Total sentences",20,
"1982","European","Deal or traffic in illicit drugs","Imprisonment",100,
"1985","European","Abduction and kidnapping","Total sentences",2,
"1982","European","Abduction and kidnapping","Total sentences",6,
"1984","European","Environmental pollution","Imprisonment",1,
"1986","European","Theft (except motor vehicles)","Imprisonment",75,
"1982","European","Obtain benefit by deception","Total sentences",981,
"1984","European","Abduction and kidnapping","Imprisonment",4,
"1985","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",246,
"1980","European","Driving licence offences","Total sentences",1043,
"1981","European","Property damage","Total sentences",802,
"1982","European","Motor vehicle theft and related offences","Total sentences",1018,
"1984","European","Other fraud and deception offences","Imprisonment",34,
"1981","European","Theft (except motor vehicles)","Total sentences",2186,
"1981","European","Other illicit drug offences","Imprisonment",9,
"1983","European","Possess and/or use illicit drugs","Imprisonment",11,
"1981","European","Other fraud and deception offences","Imprisonment",34,
"1980","European","Environmental pollution","Total sentences",80,
"1981","European","Manufacture or cultivate illicit drugs","Total sentences",692,
"1981","European","Obtain benefit by deception","Total sentences",898,
"1984","European","Obtain benefit by deception","Total sentences",1030,
"1982","European","Unlawful entry with intent/burglary, break and enter","Total sentences",1040,
"1980","European","Property damage","Total sentences",902,
"1980","European","Possess and/or use illicit drugs","Imprisonment",19,
"1981","European","Motor vehicle theft and related offences","Imprisonment",106,
"1984","European","Motor vehicle theft and related offences","Imprisonment",159,
"1984","European","Other illicit drug offences","Imprisonment",9,
"1986","European","Forgery and counterfeiting","Imprisonment",8,
"2012","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",46,
"2013","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",43,
"2015","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",51,
"2012","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",474,
"2013","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",468,
"2015","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",459,
"2013","European","Public Order Offences","Imprisonment",37,
"2016","European","Public Order Offences","Imprisonment",34,
"2013","European","Public Order Offences","Total sentences",1060,
"2016","European","Public Order Offences","Total sentences",459,
"2013","European","Miscellaneous Offences","Imprisonment",4,
"2015","European","Miscellaneous Offences","Imprisonment",1,
"2013","European","Miscellaneous Offences","Total sentences",87,
"2015","European","Miscellaneous Offences","Total sentences",60,
"2016","European","Miscellaneous Offences","Total sentences",42,
"2012","European","Murder","Imprisonment",9,
"2014","European","Murder","Imprisonment",11,
"2012","European","Murder","Total sentences",9,
"2014","European","Murder","Total sentences",11,
"2015","European","Murder","Total sentences",12,
"2013","European","Attempted murder","Imprisonment",1,
"2016","European","Attempted murder","Imprisonment",1,
"2013","European","Attempted murder","Total sentences",1,
"2014","European","Attempted murder","Total sentences",4,
"2016","European","Attempted murder","Total sentences",2,
"2014","European","Homicide And Related Offences not further defined","Total sentences",1,
"2013","European","Assault","Imprisonment",355,
"2015","European","Assault","Imprisonment",326,
"2016","European","Assault","Imprisonment",359,
"2013","European","Assault","Total sentences",2726,
"2016","European","Assault","Total sentences",2489,
"2012","European","Other acts intended to cause injury","Imprisonment",2,
"2014","European","Other acts intended to cause injury","Imprisonment",2,
"1981","European","Other acts intended to cause injury","Total sentences",4,
"1983","European","Other acts intended to cause injury","Total sentences",7,
"1986","European","Other acts intended to cause injury","Total sentences",4,
"1981","European","Other dangerous or negligent acts endangering persons","Imprisonment",2,
"1982","European","Other dangerous or negligent acts endangering persons","Imprisonment",3,
"1984","European","Other dangerous or negligent acts endangering persons","Imprisonment",2,
"1982","European","Other dangerous or negligent acts endangering persons","Total sentences",69,
"1984","European","Other dangerous or negligent acts endangering persons","Total sentences",82,
"1985","European","Other dangerous or negligent acts endangering persons","Total sentences",67,
"1982","European","Blackmail and extortion","Imprisonment",2,
"1984","European","Blackmail and extortion","Imprisonment",1,
"1985","European","Blackmail and extortion","Imprisonment",2,
"1980","European","Blackmail and extortion","Total sentences",5,
"1982","European","Blackmail and extortion","Total sentences",3,
"1985","European","Blackmail and extortion","Total sentences",4,
"1981","European","Receive or handle proceeds of crime","Imprisonment",33,
"1983","European","Receive or handle proceeds of crime","Imprisonment",27,
"1986","European","Receive or handle proceeds of crime","Imprisonment",26,
"1981","European","Receive or handle proceeds of crime","Total sentences",425,
"1983","European","Receive or handle proceeds of crime","Total sentences",431,
"1986","European","Receive or handle proceeds of crime","Total sentences",560,
"1981","European","Theft and related offences not further defined","Total sentences",1,
"1981","European","Import or export illicit drugs","Imprisonment",12,
"1982","European","Import or export illicit drugs","Imprisonment",14,
"1984","European","Import or export illicit drugs","Imprisonment",18,
"1981","European","Import or export illicit drugs","Total sentences",31,
"1980","European","Vehicle registration and roadworthiness offences","Total sentences",1695,
"1981","European","Vehicle registration and roadworthiness offences","Total sentences",2183,
"2014","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",44,
"2016","European","Prohibited And Regulated Weapons And Explosives Offences","Imprisonment",65,
"2014","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",454,
"2016","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",518,
"2012","European","Public Order Offences","Imprisonment",35,
"2014","European","Public Order Offences","Imprisonment",42,
"2015","European","Public Order Offences","Imprisonment",25,
"2012","European","Public Order Offences","Total sentences",1191,
"2014","European","Public Order Offences","Total sentences",690,
"2015","European","Public Order Offences","Total sentences",529,
"2012","European","Miscellaneous Offences","Imprisonment",6,
"2014","European","Miscellaneous Offences","Imprisonment",2,
"2012","European","Miscellaneous Offences","Total sentences",97,
"2014","European","Miscellaneous Offences","Total sentences",60,
"2013","European","Murder","Imprisonment",10,
"2015","European","Murder","Imprisonment",12,
"2016","European","Murder","Imprisonment",8,
"2013","European","Murder","Total sentences",10,
"2016","European","Murder","Total sentences",8,
"2012","European","Attempted murder","Imprisonment",1,
"2014","European","Attempted murder","Imprisonment",4,
"2015","European","Attempted murder","Imprisonment",1,
"2012","European","Attempted murder","Total sentences",2,
"2015","European","Attempted murder","Total sentences",2,
"2012","European","Assault","Imprisonment",366,
"2014","European","Assault","Imprisonment",335,
"2012","European","Assault","Total sentences",3099,
"2014","European","Assault","Total sentences",2538,
"2015","European","Assault","Total sentences",2483,
"2016","European","Other acts intended to cause injury","Imprisonment",2,
"1982","European","Other acts intended to cause injury","Total sentences",1,
"1984","European","Other acts intended to cause injury","Total sentences",3,
"1985","European","Other acts intended to cause injury","Total sentences",7,
"1980","European","Other dangerous or negligent acts endangering persons","Total sentences",66,
"1981","European","Other dangerous or negligent acts endangering persons","Total sentences",64,
"1983","European","Other dangerous or negligent acts endangering persons","Total sentences",68,
"1986","European","Other dangerous or negligent acts endangering persons","Total sentences",88,
"1981","European","Blackmail and extortion","Imprisonment",1,
"1986","European","Blackmail and extortion","Imprisonment",1,
"1981","European","Blackmail and extortion","Total sentences",1,
"1983","European","Blackmail and extortion","Total sentences",3,
"1984","European","Blackmail and extortion","Total sentences",1,
"1986","European","Blackmail and extortion","Total sentences",2,
"1982","European","Receive or handle proceeds of crime","Imprisonment",28,
"1984","European","Receive or handle proceeds of crime","Imprisonment",41,
"1985","European","Receive or handle proceeds of crime","Imprisonment",24,
"1980","European","Receive or handle proceeds of crime","Total sentences",417,
"1982","European","Receive or handle proceeds of crime","Total sentences",435,
"1984","European","Receive or handle proceeds of crime","Total sentences",524,
"1985","European","Receive or handle proceeds of crime","Total sentences",465,
"1980","European","Import or export illicit drugs","Imprisonment",15,
"1983","European","Import or export illicit drugs","Imprisonment",7,
"1980","European","Import or export illicit drugs","Total sentences",39,
"1999","European","Illegal use of property (except motor vehicles)","Total sentences",14,
"1995","European","Illegal use of property (except motor vehicles)","Imprisonment",1,
"1991","European","Forgery and counterfeiting","Imprisonment",8,
"1994","European","Forgery and counterfeiting","Imprisonment",7,
"1985","European","Other fraud and deception offences","Imprisonment",16,
"1997","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",442,
"1994","European","Prohibited And Regulated Weapons And Explosives Offences","Total sentences",450,
"1987","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",304,
"1998","European","Abduction and kidnapping","Total sentences",24,
"1991","European","Abduction and kidnapping","Imprisonment",7,
"1990","European","Unlawful entry with intent/burglary, break and enter","Imprisonment",346,
"1982","European","Deal or traffic in illicit drugs","Total sentences",251,
"1994","European","Unlawful entry with intent/burglary, break and enter","Total sentences",998,
"1994","European","Abduction and kidnapping","Imprisonment",14,
"1988","European","Obtain benefit by deception","Imprisonment",111,
"2000","European","Motor vehicle theft and related offences","Total sentences",462,
"1996","European","Theft (except motor vehicles)","Imprisonment",95,
"1999","European","Theft (except motor vehicles)","Imprisonment",101,
